State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Nebraska,FY 2010,8552,5357.999999999982,3373.0000000000027,3193.9999999999886,768.0000000000008,460.0000000000019,436.9999999999978
Nebraska,FY 2011,8362,5117.000000000027,3150.999999999998,3245.0000000000023,830.9999999999974,486.00000000000006,413.000000000003
Nebraska,FY 2012,8055,5115.999999999995,2806.0000000000036,2938.999999999993,903.9999999999995,555.0000000000001,416.9999999999992
Nebraska,FY 2013,7749,4560.999999999991,2707.9999999999973,3187.999999999998,704.9999999999997,407.0000000000014,585.9999999999964
Nebraska,FY 2014,6339,3666.0000000000014,2203.9999999999977,2673.0000000000027,692.0000000000006,462.9999999999984,460.9999999999988
Nebraska,FY 2015,5956,3725.000000000003,2351,2231.000000000004,708.9999999999993,454.99999999999824,532.9999999999993
Nebraska,FY 2016,6186,4012.0000000000095,2521.0000000000055,2174.0000000000086,714.9999999999993,463.00000000000136,482.9999999999985
Nebraska,FY 2017,6564,4194.999999999991,2644.000000000007,2368.9999999999986,771.0000000000007,451.00000000000165,546.0000000000013
Nebraska,FY 2018,5962,3524.000000000003,1868.9999999999989,2438.000000000003,816.9999999999999,497.0000000000002,564.0000000000013
Nevada,FY 2009,7875,4782.999999999991,2915.0000000000073,3092.0000000000005,2097.999999999999,957.0000000000007,525.0000000000008
Nevada,FY 2010,7635,4807.000000000003,2882.999999999989,2827.9999999999964,2094.000000000013,1086.9999999999943,643.9999999999962
Nevada,FY 2011,7525,4637.999999999987,2777.9999999999995,2887,1970.0000000000002,938.0000000000014,821.0000000000022
Nevada,FY 2012,7705,4744.999999999994,3125.000000000003,2959.9999999999927,1879.9999999999993,859.0000000000009,776.0000000000006
Nevada,FY 2013,8029,4776.000000000007,3382.000000000001,3252.9999999999986,1957,720.9999999999992,728.9999999999989
Nevada,FY 2014,7793,4542.999999999998,3343.0000000000005,3249.9999999999964,2067.0000000000027,691.0000000000024,728.9999999999992
Nevada,FY 2015,7634,4489.000000000004,3491.000000000003,3144.999999999993,1999.0000000000107,694.9999999999978,798.9999999999985
Nevada,FY 2016,7822,4265.999999999984,3414.999999999991,3556.0000000000014,1618.9999999999984,691.9999999999989,795.9999999999991
Nevada,FY 2017,7553,4408.000000000008,3367.0000000000127,3145.0000000000086,1671.999999999994,755.9999999999983,740.000000000005
Nevada,FY 2018,7497,4531.999999999989,3153.9999999999986,2965.0000000000055,1663.9999999999998,778.999999999999,760.0000000000018
