created_date,tweet_text,lang
2019-12-03 17:52:29,@Ga_Bunnie @Electra661 @watspn1013 Adoption and FosterCare Industry is about $$$... Adoption isn't the cure all or… https://t.co/jVPcrB27nV,en
2019-12-03 21:32:08,"RT @AGAPENashville: Today is #GivingTuesday! All gifts made today will be matched up to $10,000! To double the impact of your gift, you can…",en
2019-12-03 16:07:58,Three Daughters!!! https://t.co/vbZ9wvwXcN #adoption #daughters #fostercare #fostercaresystem #grief #love #mamabear #trauma,en
2019-12-05 20:38:06,"RT @miguelcoppedge: Check out my story on giving back on WJLA's segment of ""Inspiration"" today at 5:30pm on news channel 7.
#philanthropist…",en
2019-12-03 20:56:00,#Interesting #education #free #videos to see how #parentingtips needs to be different for #kids #children of… https://t.co/dZ4NHXCSqI,en
2019-12-04 23:53:29,"RT @DTFA: Every child deserves a safe, loving family, rooting for and supporting them through life. We believe unadoptable is unacceptable.…",en
2019-12-05 09:52:48,#fostercare  #fosterhome #fosterparents #fostersystem #Adoption #Foster #fosterkids #adoption,und
2019-12-05 07:13:21,RT @AdoptUSKids: It's alright if you're not a prefect parent. Thousands of teens in foster care will love you just the same. #fostercare #a…,en
2019-11-29 23:50:55,@lilkahlilah @aiidaannn @BricksByThomas @Teqhzi @DislexicPotato @FenixWild @PhiaStones @IanMayer19 @imacelebrity… https://t.co/HPssgFsgks,en
2019-12-05 10:10:50,RT @more_plate: A DIY Homemade Obstacle Course https://t.co/LTb8XGsUns #adoption #birthdays #familyactivities #fostercare #largefamily #sin…,en
2019-12-04 00:16:00,"If you're considering adopting a child, #FosterCare may not be the right place for you to look. Here's why:  https://t.co/PIPM3U1R1C",en
2019-12-04 15:19:51,"RT @MAREinMichigan: For the youth who live in foster care, nothing beats family, so make it real. Here’s how courtesy of MARE Program Manag…",en
2019-12-05 14:52:32,@starlightyoongi Because the beautiful rainbows and unicorns narrative pushed by the Adoption and FosterCare Industry.,en
